id,name,type,is_seed
amirsh/amirsh.github.com,amirsh.github.com,repo,False
amirsh/autodiff2,autodiff2,repo,False
amirsh/benchmarking-scala-manifests,benchmarking-scala-manifests,repo,False
amirsh/bigdata-synthesis,bigdata-synthesis,repo,False
amirsh/BigDatalog,BigDatalog,repo,False
ansvonwa/youtube-dl,youtube-dl,repo,False
amirsh/cake-benchmark,cake-benchmark,repo,False
amirsh/CakeTests,CakeTests,repo,False
amirsh/ChocoTest,ChocoTest,repo,False
amirsh/databench,databench,repo,False
amirsh/dblab,dblab,repo,False
amirsh/dbtoaster-a5,dbtoaster-a5,repo,False
amirsh/Delite,Delite,repo,False
amirsh/dice,dice,repo,False
amirsh/Dice.jl,Dice.jl,repo,False
amirsh/efftp,efftp,repo,False
amirsh/field-dsl,field-dsl,repo,False
amirsh/egg,egg,repo,False
amirsh/Forge,Forge,repo,False
amirsh/Forge-archive,Forge-archive,repo,False
amirsh/Forge-Provider,Forge-Provider,repo,False
amirsh/FSharp.Data,FSharp.Data,repo,False
amirsh/futhark-ad,futhark-ad,repo,False
amirsh/Jipopt-scala-test,Jipopt-scala-test,repo,False
amirsh/jzy3d-demo,jzy3d-demo,repo,False
amirsh/leon,leon,repo,False
amirsh/master-thesis-graphs,master-thesis-graphs,repo,False
amirsh/make-release-notes,make-release-notes,repo,False
amirsh/mini-dblab,mini-dblab,repo,False
amirsh/MorpheusPy,MorpheusPy,repo,False
amirsh/Play20,Play20,repo,False
amirsh/quickstep-datalog,quickstep-datalog,repo,False
amirsh/RecStep,RecStep,repo,False
amirsh/radlog,radlog,repo,False
amirsh/rsdd,rsdd,repo,False
amirsh/s4gnuplot,s4gnuplot,repo,False
amirsh/scala-ide,scala-ide,repo,False
amirsh/scala-ide-play2,scala-ide-play2,repo,False
amirsh/scala-native,scala-native,repo,False
amirsh/scala,scala,repo,False
amirsh/scala-offheap,scala-offheap,repo,False
amirsh/scala-records,scala-records,repo,False
amirsh/scala-worksheet,scala-worksheet,repo,False
amirsh/scaladiagrams,scaladiagrams,repo,False
amirsh/SCalAnalyser,SCalAnalyser,repo,False
amirsh/ScalaZ3,ScalaZ3,repo,False
amirsh/slick,slick,repo,False
amirsh/slick-examples,slick-examples,repo,False
amirsh/slick-type-provider-example,slick-type-provider-example,repo,False
amirsh/slotted-egraphs,slotted-egraphs,repo,False
amirsh/souffle-benchmarks,souffle-benchmarks,repo,False
amirsh/sprinter-macro-test,sprinter-macro-test,repo,False
amirsh/squall,squall,repo,False
amirsh/staged-streams.scala,staged-streams.scala,repo,False
amirsh/taco,taco,repo,False
amirsh/typemacros-test,typemacros-test,repo,False
amirsh/tpch-dbgen,tpch-dbgen,repo,False
amirsh/virtualization-lms-core,virtualization-lms-core,repo,False
amirsh/yin-yang,yin-yang,repo,False
amirsh/YMITSCompetition,YMITSCompetition,repo,False
adpi2/3DViewerProto,3DViewerProto,repo,False
adpi2/alabast,alabast,repo,False
adpi2/apps,apps,repo,False
adpi2/astone,astone,repo,False
adpi2/benchmark,benchmark,repo,False
adpi2/build-server-protocol,build-server-protocol,repo,False
adpi2/call-for-paper,call-for-paper,repo,False
adpi2/case-app,case-app,repo,False
adpi2/bloop,bloop,repo,False
adpi2/CSharpContest,CSharpContest,repo,False
adpi2/coursier-interface,coursier-interface,repo,False
adpi2/coursier,coursier,repo,False
adpi2/CsPaxos,CsPaxos,repo,False
adpi2/debug-adapter-protocol,debug-adapter-protocol,repo,False
adpi2/dotty-10012,dotty-10012,repo,False
adpi2/dotty-10123,dotty-10123,repo,False
adpi2/expression-evaluator,expression-evaluator,repo,False
adpi2/fetch,fetch,repo,False
adpi2/hello-goodbye,hello-goodbye,repo,False
adpi2/InCassandra,InCassandra,repo,False
adpi2/java-debug,java-debug,repo,False
adpi2/kebs,kebs,repo,False
adpi2/launcher,launcher,repo,False
adpi2/lsp4j,lsp4j,repo,False
adpi2/librarymanagement,librarymanagement,repo,False
adpi2/lunatech-scala-2-to-scala3-course,lunatech-scala-2-to-scala3-course,repo,False
adpi2/docs.scala-lang,docs.scala-lang,repo,False
adpi2/metals-vscode,metals-vscode,repo,False
adpi2/optimus-cirrus,optimus-cirrus,repo,False
adpi2/metals,metals,repo,False
adpi2/mill,mill,repo,False
adpi2/sbt-6552,sbt-6552,repo,False
adpi2/sbt-1-5-0-RC1-loader-constraint-violation,sbt-1-5-0-RC1-loader-constraint-violation,repo,False
adpi2/sbt-6925,sbt-6925,repo,False
adpi2/sbt-bloop-twirl,sbt-bloop-twirl,repo,False
adpi2/sbt-buildinfo,sbt-buildinfo,repo,False
adpi2/sbt-coursier,sbt-coursier,repo,False
adpi2/sbt,sbt,repo,False
adpi2/sbt-dependency-submission,sbt-dependency-submission,repo,False
adpi2/repos,repos,repo,False
adpi2/sbt-git,sbt-git,repo,False
adpi2/sbt-jdi-tools,sbt-jdi-tools,repo,False
adpi2/sbt-jmh,sbt-jmh,repo,False
adpi2/sbt-plugin-example-diamond,sbt-plugin-example-diamond,repo,False
adpi2/sbt-scalafix,sbt-scalafix,repo,False
adpi2/sbt-scapegoat,sbt-scapegoat,repo,False
adpi2/sbt-shading,sbt-shading,repo,False
adpi2/scala-3-migration-guide,scala-3-migration-guide,repo,False
adpi2/scala-advent-of-code,scala-advent-of-code,repo,False
adpi2/scala-bug-12357,scala-bug-12357,repo,False
adpi2/scala-cli,scala-cli,repo,False
adpi2/scala-debug-adapter,scala-debug-adapter,repo,False
adpi2/scala-maven-plugin,scala-maven-plugin,repo,False
adpi2/scala-js,scala-js,repo,False
adpi2/scala-migrat3,scala-migrat3,repo,False
adpi2/scala-lang,scala-lang,repo,False
adpi2/scala.epfl.ch,scala.epfl.ch,repo,False
adpi2/scala3-binary-decoder,scala3-binary-decoder,repo,False
adpi2/scala3-compiler-interactions,scala3-compiler-interactions,repo,False
adpi2/scala3-full-stack-example,scala3-full-stack-example,repo,False
adpi2/scaladex,scaladex,repo,False
adpi2/scaladex-index,scaladex-index,repo,False
adpi2/scalajs-19,scalajs-19,repo,False
adpi2/scalajs-bundler,scalajs-bundler,repo,False
adpi2/scalafmt,scalafmt,repo,False
adpi2/ScalaPaxos,ScalaPaxos,repo,False
adpi2/scalameta,scalameta,repo,False
adpi2/scala3,scala3,repo,False
adpi2/sculpt-jug-demo,sculpt-jug-demo,repo,False
adpi2/scastie,scastie,repo,False
adpi2/setup-scala,setup-scala,repo,False
adpi2/sjson-new,sjson-new,repo,False
adpi2/spark-scala3,spark-scala3,repo,False
adpi2/sttp-example,sttp-example,repo,False
adpi2/tasty-query,tasty-query,repo,False
adpi2/test-metadata,test-metadata,repo,False
adpi2/sttp,sttp,repo,False
adpi2/toolkit,toolkit,repo,False
adpi2/starter-workflows,starter-workflows,repo,False
adpi2/zinc,zinc,repo,False
adpi2/website,website,repo,False
bishabosha/advent-of-code-2019,advent-of-code-2019,repo,False
bishabosha/Advent-of-Code-2020,Advent-of-Code-2020,repo,False
bishabosha/advent-of-code-2021,advent-of-code-2021,repo,False
bishabosha/advent-of-code-2023,advent-of-code-2023,repo,False
bishabosha/advent-of-code-2024,advent-of-code-2024,repo,False
bishabosha/apps,apps,repo,False
bishabosha/AutoRate-Restaurant,AutoRate-Restaurant,repo,False
bishabosha/BathHack,BathHack,repo,False
bishabosha/bishabosha.github.io,bishabosha.github.io,repo,False
bishabosha/cask,cask,repo,False
bishabosha/cats-parse-playground,cats-parse-playground,repo,False
bishabosha/CodeEditLanguages,CodeEditLanguages,repo,False
bishabosha/cats-effect,cats-effect,repo,False
bishabosha/CodeEditTextView,CodeEditTextView,repo,False
bishabosha/compiler-interface,compiler-interface,repo,False
bishabosha/constraints,constraints,repo,False
bishabosha/coursier-test-metadata,coursier-test-metadata,repo,False
bishabosha/CuppaJoe,CuppaJoe,repo,False
bishabosha/coursier,coursier,repo,False
bishabosha/dotty-experiments,dotty-experiments,repo,False
bishabosha/Energy-Languages,Energy-Languages,repo,False
