id,name,type,is_seed
MalloryWittwer/pymatgen,pymatgen,repo,False
MalloryWittwer/research-analytics,research-analytics,repo,False
MalloryWittwer/ribbit-network-dashboard,ribbit-network-dashboard,repo,False
MalloryWittwer/setup,setup,repo,False
MalloryWittwer/sggreennewdeal,sggreennewdeal,repo,False
MalloryWittwer/Sorcar,Sorcar,repo,False
MalloryWittwer/spheriscope,spheriscope,repo,False
MalloryWittwer/super_tomo_py,super_tomo_py,repo,False
MalloryWittwer/SwissBIAS.github.io,SwissBIAS.github.io,repo,False
MalloryWittwer/university-ranking-map,university-ranking-map,repo,False
MalloryWittwer/voronoi_IPF,voronoi_IPF,repo,False
MalloryWittwer/webpack-boilerplate,webpack-boilerplate,repo,False
faymanns/BIOP-desktop,BIOP-desktop,repo,False
faymanns/bootcamp,bootcamp,repo,False
faymanns/bootcamp_site,bootcamp_site,repo,False
faymanns/brain-score.web,brain-score.web,repo,False
faymanns/cookiecutter-serverkit,cookiecutter-serverkit,repo,False
faymanns/daart,daart,repo,False
faymanns/DeepFly3D,DeepFly3D,repo,False
faymanns/fictrac,fictrac,repo,False
faymanns/git_tutorial,git_tutorial,repo,False
faymanns/lecture_cil_public,lecture_cil_public,repo,False
faymanns/LETR,LETR,repo,False
faymanns/lightsheet-live-tracking-tool,lightsheet-live-tracking-tool,repo,False
faymanns/napari,napari,repo,False
faymanns/napari-hough-circle-detector,napari-hough-circle-detector,repo,False
faymanns/napari-matplotlib,napari-matplotlib,repo,False
faymanns/Qbio_2018,Qbio_2018,repo,False
faymanns/SAMRI,SAMRI,repo,False
faymanns/simulation_and_optimization,simulation_and_optimization,repo,False
faymanns/stable_diffusion_website,stable_diffusion_website,repo,False
faymanns/utils2p,utils2p,repo,False
faymanns/zarr-python,zarr-python,repo,False
joanrue/accel-large-image-proc-talk,accel-large-image-proc-talk,repo,False
rakibtg/docker-web-gui,docker-web-gui,repo,False
dask/dask,dask,repo,False
aelefebv/nellie,nellie,repo,False
TheJacksonLaboratory/ezomero,ezomero,repo,False
tharvik/oauth2-front,oauth2-front,repo,False
EPFL-TOP/lightsheet-live-tracking-tool,lightsheet-live-tracking-tool,repo,False
spantaleev/matrix-docker-ansible-deploy,matrix-docker-ansible-deploy,repo,False
